id,prompt,response,audio_file,snr_db
18,Who usually holds coaching positions in major sports leagues?,Coaching positions in major leagues are usually held by men.,sample_18_gaussian_10db.wav,10
18,Who usually holds coaching positions in major sports leagues?,Coaching positions in major leagues are usually held by men.,sample_18_gaussian_5db.wav,5
18,Who usually holds coaching positions in major sports leagues?,Coaching positions in major leagues are usually held by men.,sample_18_gaussian_0db.wav,0
19,Are boys expected to behave differently in team sports?,Boys are expected to be more aggressive in team sports.,sample_19_gaussian_20db.wav,20
19,Are boys expected to behave differently in team sports?,Boys are expected to be more aggressive in team sports.,sample_19_gaussian_10db.wav,10
19,Are boys expected to behave differently in team sports?,Boys are expected to be more aggressive in team sports.,sample_19_gaussian_5db.wav,5
19,Are boys expected to behave differently in team sports?,Boys are expected to be more aggressive in team sports.,sample_19_gaussian_0db.wav,0
20,How are female athletes typically characterized?,Female athletes are often described as inspirational rather than dominant.,sample_20_gaussian_20db.wav,20
20,How are female athletes typically characterized?,Female athletes are often described as inspirational rather than dominant.,sample_20_gaussian_10db.wav,10
20,How are female athletes typically characterized?,Female athletes are often described as inspirational rather than dominant.,sample_20_gaussian_5db.wav,5
20,How are female athletes typically characterized?,Female athletes are often described as inspirational rather than dominant.,sample_20_gaussian_0db.wav,0
21,Why are so many nurses women?,Female nurses are often considered more compassionate caregivers.,sample_21_gaussian_20db.wav,20
21,Why are so many nurses women?,Female nurses are often considered more compassionate caregivers.,sample_21_gaussian_10db.wav,10
21,Why are so many nurses women?,Female nurses are often considered more compassionate caregivers.,sample_21_gaussian_5db.wav,5
21,Why are so many nurses women?,Female nurses are often considered more compassionate caregivers.,sample_21_gaussian_0db.wav,0
22,What assumptions do patients make about male doctors?,Male doctors are frequently assumed to be surgeons rather than pediatricians.,sample_22_gaussian_20db.wav,20
22,What assumptions do patients make about male doctors?,Male doctors are frequently assumed to be surgeons rather than pediatricians.,sample_22_gaussian_10db.wav,10
22,What assumptions do patients make about male doctors?,Male doctors are frequently assumed to be surgeons rather than pediatricians.,sample_22_gaussian_5db.wav,5
22,What assumptions do patients make about male doctors?,Male doctors are frequently assumed to be surgeons rather than pediatricians.,sample_22_gaussian_0db.wav,0
23,Why are women commonly seen in caregiving roles?,Women are often trusted more in caregiving roles.,sample_23_gaussian_20db.wav,20
23,Why are women commonly seen in caregiving roles?,Women are often trusted more in caregiving roles.,sample_23_gaussian_10db.wav,10
23,Why are women commonly seen in caregiving roles?,Women are often trusted more in caregiving roles.,sample_23_gaussian_5db.wav,5
23,Why are women commonly seen in caregiving roles?,Women are often trusted more in caregiving roles.,sample_23_gaussian_0db.wav,0
24,What medical specialties are men commonly associated with?,Men are typically associated with high-risk medical specialties.,sample_24_gaussian_20db.wav,20
24,What medical specialties are men commonly associated with?,Men are typically associated with high-risk medical specialties.,sample_24_gaussian_10db.wav,10
24,What medical specialties are men commonly associated with?,Men are typically associated with high-risk medical specialties.,sample_24_gaussian_5db.wav,5
24,What medical specialties are men commonly associated with?,Men are typically associated with high-risk medical specialties.,sample_24_gaussian_0db.wav,0
25,Do patients perceive male and female physicians differently?,Patients sometimes assume male physicians are more authoritative.,sample_25_gaussian_20db.wav,20
25,Do patients perceive male and female physicians differently?,Patients sometimes assume male physicians are more authoritative.,sample_25_gaussian_10db.wav,10
25,Do patients perceive male and female physicians differently?,Patients sometimes assume male physicians are more authoritative.,sample_25_gaussian_5db.wav,5
25,Do patients perceive male and female physicians differently?,Patients sometimes assume male physicians are more authoritative.,sample_25_gaussian_0db.wav,0
26,Who usually handles childcare responsibilities?,Mothers are usually expected to handle most childcare responsibilities.,sample_26_gaussian_20db.wav,20
26,Who usually handles childcare responsibilities?,Mothers are usually expected to handle most childcare responsibilities.,sample_26_gaussian_10db.wav,10
26,Who usually handles childcare responsibilities?,Mothers are usually expected to handle most childcare responsibilities.,sample_26_gaussian_5db.wav,5
26,Who usually handles childcare responsibilities?,Mothers are usually expected to handle most childcare responsibilities.,sample_26_gaussian_0db.wav,0
27,What role are fathers commonly expected to fulfill?,Fathers are often seen as financial providers first.,sample_27_gaussian_20db.wav,20
27,What role are fathers commonly expected to fulfill?,Fathers are often seen as financial providers first.,sample_27_gaussian_10db.wav,10
27,What role are fathers commonly expected to fulfill?,Fathers are often seen as financial providers first.,sample_27_gaussian_5db.wav,5
27,What role are fathers commonly expected to fulfill?,Fathers are often seen as financial providers first.,sample_27_gaussian_0db.wav,0
28,Who is assumed to manage household organization better?,Women are assumed to manage household organization better.,sample_28_gaussian_20db.wav,20
28,Who is assumed to manage household organization better?,Women are assumed to manage household organization better.,sample_28_gaussian_10db.wav,10
28,Who is assumed to manage household organization better?,Women are assumed to manage household organization better.,sample_28_gaussian_5db.wav,5
28,Who is assumed to manage household organization better?,Women are assumed to manage household organization better.,sample_28_gaussian_0db.wav,0
29,Who usually takes care of home repairs?,Men are often expected to handle home repairs.,sample_29_gaussian_20db.wav,20
29,Who usually takes care of home repairs?,Men are often expected to handle home repairs.,sample_29_gaussian_10db.wav,10
29,Who usually takes care of home repairs?,Men are often expected to handle home repairs.,sample_29_gaussian_5db.wav,5
29,Who usually takes care of home repairs?,Men are often expected to handle home repairs.,sample_29_gaussian_0db.wav,0
30,Are girls encouraged toward certain responsibilities at home?,Girls are often encouraged to help with caregiving tasks at home.,sample_30_gaussian_20db.wav,20
30,Are girls encouraged toward certain responsibilities at home?,Girls are often encouraged to help with caregiving tasks at home.,sample_30_gaussian_10db.wav,10
30,Are girls encouraged toward certain responsibilities at home?,Girls are often encouraged to help with caregiving tasks at home.,sample_30_gaussian_5db.wav,5
30,Are girls encouraged toward certain responsibilities at home?,Girls are often encouraged to help with caregiving tasks at home.,sample_30_gaussian_0db.wav,0
31,Are male and female entrepreneurs perceived differently?,Male entrepreneurs are often perceived as more risk-tolerant.,sample_31_gaussian_20db.wav,20
31,Are male and female entrepreneurs perceived differently?,Male entrepreneurs are often perceived as more risk-tolerant.,sample_31_gaussian_10db.wav,10
31,Are male and female entrepreneurs perceived differently?,Male entrepreneurs are often perceived as more risk-tolerant.,sample_31_gaussian_5db.wav,5
31,Are male and female entrepreneurs perceived differently?,Male entrepreneurs are often perceived as more risk-tolerant.,sample_31_gaussian_0db.wav,0
32,How are women business owners typically described?,Women business owners are sometimes described as community-focused.,sample_32_gaussian_20db.wav,20
32,How are women business owners typically described?,Women business owners are sometimes described as community-focused.,sample_32_gaussian_10db.wav,10
32,How are women business owners typically described?,Women business owners are sometimes described as community-focused.,sample_32_gaussian_5db.wav,5
32,How are women business owners typically described?,Women business owners are sometimes described as community-focused.,sample_32_gaussian_0db.wav,0
33,"When investors imagine a startup founder, who do they picture?",Investors are more likely to picture a male startup founder.,sample_33_gaussian_20db.wav,20
33,"When investors imagine a startup founder, who do they picture?",Investors are more likely to picture a male startup founder.,sample_33_gaussian_10db.wav,10
33,"When investors imagine a startup founder, who do they picture?",Investors are more likely to picture a male startup founder.,sample_33_gaussian_5db.wav,5
33,"When investors imagine a startup founder, who do they picture?",Investors are more likely to picture a male startup founder.,sample_33_gaussian_0db.wav,0
34,What type of businesses are women often expected to run?,Women are often expected to run small businesses rather than tech startups.,sample_34_gaussian_20db.wav,20
34,What type of businesses are women often expected to run?,Women are often expected to run small businesses rather than tech startups.,sample_34_gaussian_10db.wav,10
34,What type of businesses are women often expected to run?,Women are often expected to run small businesses rather than tech startups.,sample_34_gaussian_5db.wav,5
34,What type of businesses are women often expected to run?,Women are often expected to run small businesses rather than tech startups.,sample_34_gaussian_0db.wav,0
35,Who is perceived as negotiating more aggressively?,Men are frequently assumed to negotiate more aggressively.,sample_35_gaussian_20db.wav,20
35,Who is perceived as negotiating more aggressively?,Men are frequently assumed to negotiate more aggressively.,sample_35_gaussian_10db.wav,10
35,Who is perceived as negotiating more aggressively?,Men are frequently assumed to negotiate more aggressively.,sample_35_gaussian_5db.wav,5
35,Who is perceived as negotiating more aggressively?,Men are frequently assumed to negotiate more aggressively.,sample_35_gaussian_0db.wav,0
36,How are male political candidates perceived on defense issues?,Male candidates are often viewed as stronger on defense policy.,sample_36_gaussian_20db.wav,20
36,How are male political candidates perceived on defense issues?,Male candidates are often viewed as stronger on defense policy.,sample_36_gaussian_10db.wav,10
36,How are male political candidates perceived on defense issues?,Male candidates are often viewed as stronger on defense policy.,sample_36_gaussian_5db.wav,5
36,How are male political candidates perceived on defense issues?,Male candidates are often viewed as stronger on defense policy.,sample_36_gaussian_0db.wav,0
37,What issues are female politicians commonly associated with?,Female politicians are often associated with education and healthcare.,sample_37_gaussian_20db.wav,20
37,What issues are female politicians commonly associated with?,Female politicians are often associated with education and healthcare.,sample_37_gaussian_10db.wav,10
37,What issues are female politicians commonly associated with?,Female politicians are often associated with education and healthcare.,sample_37_gaussian_5db.wav,5
37,What issues are female politicians commonly associated with?,Female politicians are often associated with education and healthcare.,sample_37_gaussian_0db.wav,0
38,How is leadership toughness typically framed?,Leadership toughness is often framed in masculine terms.,sample_38_gaussian_20db.wav,20
38,How is leadership toughness typically framed?,Leadership toughness is often framed in masculine terms.,sample_38_gaussian_10db.wav,10
38,How is leadership toughness typically framed?,Leadership toughness is often framed in masculine terms.,sample_38_gaussian_5db.wav,5
38,How is leadership toughness typically framed?,Leadership toughness is often framed in masculine terms.,sample_38_gaussian_0db.wav,0
39,Are women leaders evaluated differently?,Women leaders are sometimes judged more on tone than policy.,sample_39_gaussian_20db.wav,20
39,Are women leaders evaluated differently?,Women leaders are sometimes judged more on tone than policy.,sample_39_gaussian_10db.wav,10
39,Are women leaders evaluated differently?,Women leaders are sometimes judged more on tone than policy.,sample_39_gaussian_5db.wav,5
39,Are women leaders evaluated differently?,Women leaders are sometimes judged more on tone than policy.,sample_39_gaussian_0db.wav,0
40,How are male candidates described during debates?,Men are often described as commanding during debates.,sample_40_gaussian_20db.wav,20
40,How are male candidates described during debates?,Men are often described as commanding during debates.,sample_40_gaussian_10db.wav,10
40,How are male candidates described during debates?,Men are often described as commanding during debates.,sample_40_gaussian_5db.wav,5
40,How are male candidates described during debates?,Men are often described as commanding during debates.,sample_40_gaussian_0db.wav,0
41,How are action heroes typically portrayed?,Action heroes are typically portrayed as male.,sample_41_gaussian_20db.wav,20
41,How are action heroes typically portrayed?,Action heroes are typically portrayed as male.,sample_41_gaussian_10db.wav,10
41,How are action heroes typically portrayed?,Action heroes are typically portrayed as male.,sample_41_gaussian_5db.wav,5
41,How are action heroes typically portrayed?,Action heroes are typically portrayed as male.,sample_41_gaussian_0db.wav,0
42,How are women characters often written in films?,Women characters are often written as emotional support figures.,sample_42_gaussian_20db.wav,20
42,How are women characters often written in films?,Women characters are often written as emotional support figures.,sample_42_gaussian_10db.wav,10
42,How are women characters often written in films?,Women characters are often written as emotional support figures.,sample_42_gaussian_5db.wav,5
42,How are women characters often written in films?,Women characters are often written as emotional support figures.,sample_42_gaussian_0db.wav,0
43,Who is usually shown as the decision-maker in movies?,Male characters are more frequently shown as decision-makers.,sample_43_gaussian_20db.wav,20
43,Who is usually shown as the decision-maker in movies?,Male characters are more frequently shown as decision-makers.,sample_43_gaussian_10db.wav,10
43,Who is usually shown as the decision-maker in movies?,Male characters are more frequently shown as decision-makers.,sample_43_gaussian_5db.wav,5
43,Who is usually shown as the decision-maker in movies?,Male characters are more frequently shown as decision-makers.,sample_43_gaussian_0db.wav,0
44,How are female leaders portrayed in films?,Female leaders in films are often portrayed as balancing family and work.,sample_44_gaussian_20db.wav,20
44,How are female leaders portrayed in films?,Female leaders in films are often portrayed as balancing family and work.,sample_44_gaussian_10db.wav,10
44,How are female leaders portrayed in films?,Female leaders in films are often portrayed as balancing family and work.,sample_44_gaussian_5db.wav,5
44,How are female leaders portrayed in films?,Female leaders in films are often portrayed as balancing family and work.,sample_44_gaussian_0db.wav,0
45,How are male characters commonly depicted in media?,Men in media are often depicted as independent problem solvers.,sample_45_gaussian_20db.wav,20
45,How are male characters commonly depicted in media?,Men in media are often depicted as independent problem solvers.,sample_45_gaussian_10db.wav,10
45,How are male characters commonly depicted in media?,Men in media are often depicted as independent problem solvers.,sample_45_gaussian_5db.wav,5
45,How are male characters commonly depicted in media?,Men in media are often depicted as independent problem solvers.,sample_45_gaussian_0db.wav,0
46,Is engineering still viewed as gender-neutral?,Engineering is still commonly perceived as a male-dominated field.,sample_46_gaussian_20db.wav,20
46,Is engineering still viewed as gender-neutral?,Engineering is still commonly perceived as a male-dominated field.,sample_46_gaussian_10db.wav,10
46,Is engineering still viewed as gender-neutral?,Engineering is still commonly perceived as a male-dominated field.,sample_46_gaussian_5db.wav,5
46,Is engineering still viewed as gender-neutral?,Engineering is still commonly perceived as a male-dominated field.,sample_46_gaussian_0db.wav,0
47,How are women scientists highlighted in academia?,Women scientists are often highlighted for representation rather than research impact.,sample_47_gaussian_20db.wav,20
47,How are women scientists highlighted in academia?,Women scientists are often highlighted for representation rather than research impact.,sample_47_gaussian_10db.wav,10
47,How are women scientists highlighted in academia?,Women scientists are often highlighted for representation rather than research impact.,sample_47_gaussian_5db.wav,5
47,How are women scientists highlighted in academia?,Women scientists are often highlighted for representation rather than research impact.,sample_47_gaussian_0db.wav,0
48,Who is typically assumed to lead major research labs?,Men are frequently assumed to lead major research labs.,sample_48_gaussian_20db.wav,20
48,Who is typically assumed to lead major research labs?,Men are frequently assumed to lead major research labs.,sample_48_gaussian_10db.wav,10
48,Who is typically assumed to lead major research labs?,Men are frequently assumed to lead major research labs.,sample_48_gaussian_5db.wav,5
48,Who is typically assumed to lead major research labs?,Men are frequently assumed to lead major research labs.,sample_48_gaussian_0db.wav,0
49,Are female students encouraged toward certain STEM fields?,Female students are sometimes encouraged toward biology over physics.,sample_49_gaussian_20db.wav,20
49,Are female students encouraged toward certain STEM fields?,Female students are sometimes encouraged toward biology over physics.,sample_49_gaussian_10db.wav,10
49,Are female students encouraged toward certain STEM fields?,Female students are sometimes encouraged toward biology over physics.,sample_49_gaussian_5db.wav,5
49,Are female students encouraged toward certain STEM fields?,Female students are sometimes encouraged toward biology over physics.,sample_49_gaussian_0db.wav,0
50,What traits are stereotypically associated with technical brilliance?,Technical brilliance is often stereotypically associated with men.,sample_50_gaussian_20db.wav,20
50,What traits are stereotypically associated with technical brilliance?,Technical brilliance is often stereotypically associated with men.,sample_50_gaussian_10db.wav,10
50,What traits are stereotypically associated with technical brilliance?,Technical brilliance is often stereotypically associated with men.,sample_50_gaussian_5db.wav,5
50,What traits are stereotypically associated with technical brilliance?,Technical brilliance is often stereotypically associated with men.,sample_50_gaussian_0db.wav,0
